tract,buss_licences,building_violations,vehicle_theft,burglary,robbery,public_peace_violation,weapons_violation,sexual_assault,homicides,rodents,garbage,sanitation,abandon_vehicles,pot_holes,tree_trims,street_lights,S0101_C01_001E,S1101_C01_002E,S1401_C02_001E,S1401_C02_030E,S1501_C02_002E,S1501_C02_008E,S1601_C02_003E,S1701_C03_001E,S1810_C03_001E,S1901_C01_012E,S2201_C02_001E,S2301_C03_001E,S2701_C03_001E
10100,2.051048313582498,19.143117593436646,2.5068368277119415,4.785779398359161,1.8231540565177757,1.13947128532361,1.8231540565177757,1.13947128532361,1.0,39.881494986326345,4.55788514129444,4.55788514129444,3.1905195989061075,5.469462169553327,7.748404740200547,2.9626253418413855,4388.0,1.93,-888888888.0,16.0,8.8,8.4,25.2,35.4,18.8,29861.0,-888888888.0,68.1,87.0
10201,0.9954493742889647,10.381114903299203,0.9954493742889647,3.5551763367463027,2.5597269624573378,0.0,0.42662116040955633,0.2844141069397042,1.0,18.486916951080772,4.408418657565416,4.408418657565416,8.390216154721275,6.257110352673492,7.39476678043231,1.1376564277588168,7032.0,2.51,-888888888.0,25.2,39.0,9.5,35.5,35.3,16.0,38861.0,-888888888.0,55.6,78.0
10202,3.956043956043956,12.307692307692308,6.153846153846154,3.956043956043956,12.747252747252748,0.8791208791208791,2.6373626373626373,1.3186813186813187,0.0,18.461538461538463,5.714285714285714,4.835164835164836,6.593406593406594,7.912087912087912,13.626373626373628,3.076923076923077,2275.0,1.98,-888888888.0,30.8,37.7,11.9,40.9,23.2,12.1,29432.0,-888888888.0,58.6,80.8
10300,1.9339242546333602,9.508460918614022,1.7727639000805802,2.2562449637389204,2.73972602739726,0.16116035455278002,0.0,0.8058017727639001,1.0,19.3392425463336,2.73972602739726,2.5785656728444803,4.35132957292506,3.8678485092667203,4.8348106365834,2.4174053182917,6205.0,1.8,-888888888.0,13.6,41.1,10.2,32.4,17.5,11.4,37515.0,-888888888.0,57.1,88.5
10400,0.8923790826343031,1.7847581652686062,1.427806532214885,2.6771372479029094,0.7139032661074425,0.17847581652686062,0.0,0.5354274495805819,1.0,8.388363376762449,1.6062823487417455,2.1417097983223274,2.1417097983223274,4.997322862752097,2.320185614849188,1.0708548991611637,5603.0,2.13,-888888888.0,85.8,0.0,0.5,16.2,17.6,8.6,37228.0,-888888888.0,56.8,93.2
10501,1.2800819252432156,3.32821300563236,2.5601638504864312,3.5842293906810037,2.8161802355350742,0.2560163850486431,0.5120327700972862,0.7680491551459293,0.0,8.19252432155658,2.5601638504864312,3.0721966205837172,5.888376856118791,5.1203277009728625,5.376344086021505,0.2560163850486431,3906.0,1.68,-888888888.0,44.1,9.6,5.3,23.8,20.3,13.7,26750.0,-888888888.0,62.9,83.8
10502,1.9704433497536946,3.61247947454844,0.9852216748768473,3.284072249589491,3.61247947454844,0.0,0.0,0.3284072249589491,0.0,13.136288998357964,3.61247947454844,2.2988505747126435,4.269293924466338,8.210180623973727,8.538587848932677,1.3136288998357963,3045.0,2.01,-888888888.0,77.0,5.2,4.3,30.3,38.7,7.4,29870.0,-888888888.0,67.1,83.6
10503,6.15530303030303,5.681818181818182,2.840909090909091,3.3143939393939394,2.840909090909091,0.0,0.47348484848484845,0.0,0.0,29.829545454545453,4.734848484848484,1.4204545454545454,5.208333333333333,11.363636363636363,9.469696969696969,0.0,2112.0,1.81,-888888888.0,95.6,0.0,9.0,43.4,46.6,22.0,17569.0,-888888888.0,51.0,93.4
10600,3.92512077294686,10.11473429951691,2.1135265700483092,4.378019323671498,2.8683574879227054,0.0,0.9057971014492754,0.30193236714975846,0.0,9.359903381642512,2.566425120772947,3.170289855072464,6.793478260869565,4.830917874396135,2.566425120772947,1.358695652173913,6624.0,2.11,-888888888.0,48.7,18.7,3.8,36.4,17.4,9.3,43958.0,-888888888.0,69.6,77.3
10701,1.02014792144861,16.32236674317776,1.7852588625350676,1.5302218821729152,1.02014792144861,0.2550369803621525,0.0,0.0,0.0,22.188217291507268,15.557255802091303,1.7852588625350676,16.06732976281561,10.2014792144861,6.375924509053813,0.2550369803621525,3921.0,2.51,-888888888.0,30.7,61.3,3.1,51.1,15.5,8.5,57109.0,-888888888.0,67.7,84.8
